pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
Kepler-266 c,Kepler-266,107.723601,3.89,14.4
K2-397 b,K2-397,3.572326,2.417,6.42
TOI-4010 b,TOI-4010,1.348335,3.02,11.0
TOI-4010 c,TOI-4010,5.414654,5.93,20.31
WASP-16 b,WASP-16,3.1186,13.675,394.1092
HD 74698 b,HD 74698,15.017,5.12,23.0
Kepler-247 d,Kepler-247,20.477912,3.94,14.7
Kepler-1000 b,Kepler-1000,120.0181272,4.76,20.3
Kepler-1005 b,Kepler-1005,6.49801525,1.5,2.86
Kepler-1085 c,Kepler-1085,56.7771,3.268,10.7
WASP-132 d,WASP-132,1816.6,12.8,1639.99458
HD 15906 b,HD 15906,10.924709,2.24,5.65
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,,14.0,230.0
K2-415 b,K2-415,4.0179694,1.015,7.5
EPIC 201170410.02,EPIC 201170410,6.7987,1.047,1.15
K2-414 c,K2-414,6.669,1.929,4.38
K2-48 b,K2-48,20.5065,2.24,5.65
K2-50 b,K2-50,8.7529,1.59,3.15
HD 160691 d,HD 160691,9.6392,3.17,10.17
HIP 67851 c,HIP 67851,3923.6609,12.7,2204.77566
Kepler-1124 b,Kepler-1124,2.85234897,1.28,2.18
Kepler-1137 b,Kepler-1137,23.9210791,2.2,5.48
Kepler-255 c,Kepler-255,9.946047,2.99,9.22
K2-178 b,K2-178,8.747818,3.558,12.4
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,,12.9,111.0
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,,12.2,4923.0
K2-138 d,K2-138,5.40479,2.39,7.92
K2-148 b,K2-148,4.38395,1.33,2.33
K2-149 b,K2-149,11.332,1.64,3.33
HD 73583 c,HD 73583,18.87974,2.39,9.7
Kepler-241 b,Kepler-241,12.718092,2.33,6.04
Kepler-1133 b,Kepler-1133,11.55562343,1.97,4.54
Kepler-114 c,Kepler-114,8.041,1.6,2.8
Kepler-118 b,Kepler-118,7.518496,1.96,4.5
Kepler-1018 b,Kepler-1018,49.1013514,2.58,7.18
BD+20 594 b,BD+20 594,41.6855,2.578,22.2481
HIP 67522 c,HIP 67522,14.334892,7.936,48.3
K2-15 b,K2-15,11.8104,2.48,6.71
K2-168 b,K2-168,15.8523,1.86,4.12
TOI-4582 b,TOI-4582,31.034,10.536,168.44906
Kapteyn c,Kapteyn,121.54,2.54,7.0
Kepler-37 d,Kepler-37,39.7922622,2.03,2.0
Kepler-37 e,Kepler-37,51.196,0.37,8.1
K2-207 b,K2-207,12.48749,2.606,7.3
HD 75784 c,HD 75784,7900.0,12.8,1792.5612
KELT-11 b,KELT-11,4.7361,15.132,54.34893
KOI-142 c,KOI-142,22.26492,14.0,214.1
Kepler-88 d,KOI-142,1403.0,13.1,965.147
Kepler-282 d,Kepler-282,24.806,2.46,61.0
Kepler-796 b,Kepler-796,6.40087618,1.3,2.24
Kepler-795 b,Kepler-795,29.6193421,1.68,3.46
Kepler-314 c,Kepler-314,5.960392,2.9,8.75
Kepler-324 b,Kepler-324,4.385315,1.14,1.55
Kepler-297 c,Kepler-297,74.920137,6.54,42.1
Kepler-293 c,Kepler-293,54.155743,3.83,14.0
Kepler-299 e,Kepler-299,38.285489,1.87,4.16
Kepler-301 d,Kepler-301,13.751243,1.75,3.71
Kepler-305 b,Kepler-305,5.487,3.6,10.5
Kepler-911 b,Kepler-911,20.310501,2.6,7.27
Kepler-50 b,Kepler-50,7.81254,1.71,8.9
Kepler-289 c,Kepler-289,125.8723,11.23,157.18
Kepler-1672 b,Kepler-1672,150.878,2.97,9.11
Kepler-1026 b,Kepler-1026,36.5156053,2.21,5.52
Kepler-1333 b,Kepler-1333,109.6471842,2.81,8.3
Kepler-55 e,Kepler-55,4.617534,1.55,3.02
Kepler-551 b,Kepler-551,12.3764661,2.73,7.9
Kepler-586 b,Kepler-586,2.10472218,2.79,8.2
Kepler-1599 b,Kepler-1599,122.363553,1.62,3.26
Kepler-588 b,Kepler-588,4.22162536,2.63,7.41
GJ 367 d,GJ 367,34.369,2.33,6.03
Kepler-108 c,Kepler-108,190.323494,8.18,50.9
Kepler-1142 b,Kepler-1142,18.3027248,1.47,2.76
Kepler-1504 b,Kepler-1504,82.304003,2.13,5.18
HD 5608 b,HD 5608,768.7,13.7,371.22358
TOI-771 b,TOI-771,2.326021,1.422,2.61
Kepler-119 b,Kepler-119,2.422082,3.6,12.6
Kepler-1099 b,Kepler-1099,2.16845259,2.83,8.4
Kepler-315 b,Kepler-315,96.101141,3.77,13.7
Kepler-319 c,Kepler-319,6.941357,2.63,7.41
Kepler-119 c,Kepler-119,4.125103,0.92,0.721
Kepler-248 b,Kepler-248,6.308205,3.02,9.38
Kepler-10 c,Kepler-10,45.294301,2.355,11.4
Kepler-207 d,Kepler-207,5.868075,3.31,11.0
Kepler-211 b,Kepler-211,4.138575,1.26,2.13
Kepler-1008 b,Kepler-1008,12.43931193,1.28,2.18
Kepler-595 b,Kepler-595,25.3029092,3.708,17.4
Kepler-1081 b,Kepler-1081,3.85691855,1.01,1.01
Kepler-1783 b,Kepler-1783,8.27744007,1.319,2.3
Kepler-24 b,Kepler-24,8.14,2.348,11.14
Kepler-24 c,Kepler-24,12.33,2.514,9.99
Kepler-251 d,Kepler-251,30.133001,2.77,8.1
Kepler-194 b,Kepler-194,2.092281,1.51,2.89
Kepler-1001 b,Kepler-1001,14.30511983,3.15,10.1
Kepler-581 b,Kepler-581,40.6069821,2.63,7.41
Kepler-1174 b,Kepler-1174,6.89225223,1.59,3.15
Kepler-1012 b,Kepler-1012,5.50860439,1.29,2.21
Kepler-107 c,Kepler-107,4.901452,1.597,10.0
Kepler-326 b,Kepler-326,2.248329,1.52,44.6
Kepler-301 c,Kepler-301,5.419026,1.35,2.39
Kepler-304 c,Kepler-304,5.315946,2.17,5.35
Kepler-616 d,Kepler-616,51.06740189,2.653,7.52
Kepler-349 b,Kepler-349,5.929778,1.9,94.5
Kepler-349 c,Kepler-349,12.247629,1.96,4.5
Kepler-355 c,Kepler-355,25.762294,2.71,7.8
Kepler-356 c,Kepler-356,13.121632,1.81,3.93
Kepler-583 b,Kepler-583,6.5100253,2.28,5.82
Kepler-287 c,Kepler-287,44.851896,3.26,10.7
