pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,,13.9,250.0
Kepler-24 e,Kepler-24,18.998355,2.78,8.15
Kepler-1065 b,Kepler-1065,3.60930891,3.73,13.4
HD 132406 b,HD 132406,908.0,12.8,1887.90074
TOI-1260 c,TOI-1260,7.493134,2.76,13.2
HD 149143 b,HD 149143,4.07182,13.6,422.7139
HD 99492 b,HD 99492,17.0503,5.44,25.5
nu Oph c,nu Oph,3180.6,12.0,7838.32346
75 Cet b,75 Cet,696.62,13.3,787.89662
gam Lib b,gam Lib,414.88,13.7,357.87479
HD 113337 b,HD 113337,317.58639,13.1,1035.80278
HD 28109 c,HD 28109,56.00819,4.23,7.943
K2-350 b,K2-350,4.163873,1.54,2.99
K2-342 b,K2-342,11.561052,2.03,4.78
EPIC 212587672 b,EPIC 212587672,15.28078,1.26,2.13
K2-332 b,K2-332,17.70632,2.2,5.48
K2-340 b,K2-340,29.740451,3.36,11.2
GJ 486 b,GJ 486,1.46712127,1.289,2.77
TOI-6002 b,TOI-6002,10.904821,1.65,3.36
HIP 12961 b,HIP 12961,57.435,13.2,114.4188
HD 11755 b,HD 11755,433.70001,12.8,1789.3829
HD 29985 b,HD 29985,20608.14049,12.8,1739.47487
HD 115954 b,HD 115954,3700.0,12.6,2685.65004
HIP 97233 b,HIP 97233,1062.26506,12.1,6098.17365
HD 95872 b,HD 95872,4375.0,13.0,1188.6842
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,,4.86,21.0
Teegarden's Star c,Teegarden's Star,11.416,1.02,1.05
TOI-1470 b,TOI-1470,2.527093,2.18,7.32
HR 810 b,HR 810,302.79999,12.7,1970.53612
HD 97658 b,HD 97658,9.4897116,2.12,8.3
LTT 3780 b,LTT 3780,0.76837931,1.325,2.46
HIP 41378 c,HIP 41378,31.70648,2.56,7.08
HD 86728 b,HD 86728,31.1515,3.03,9.43
HD 106315 c,HD 106315,21.05704,4.35,15.2
K2-174 b,K2-174,19.562307,2.6,7.27
TOI-2068 b,TOI-2068,7.768915,1.821,3.97
TOI-2180 b,TOI-2180,260.79,11.321,875.61726
TOI-1899 b,TOI-1899,29.090312,11.097,212.94503
HD 22946 d,HD 22946,47.42489,2.607,26.57
Qatar-3 b,Qatar-3,2.5079204,12.285,1369.8473
WASP-159 b,WASP-159,3.840401,15.468,174.8065
WASP-7 b,WASP-7,4.9546416,14.908,305.1168
HD 219134 g,HD 219134,94.2,3.28,10.80622
tau Cet e,tau Cet,162.87,1.81,3.93
Kepler-1465 b,Kepler-1465,31.8277111,1.77,3.78
K2-150 b,K2-150,10.59357,2.0,4.66
NSVS 14256825 b,NSVS 14256825,3225.0,12.3,4497.2945
Kepler-1665 b,Kepler-1665,11.9548,2.839,8.44
KOI-4978 b,KOI-4978,0.941967,0.7,0.271
Kepler-1332 b,Kepler-1332,11.87456832,1.37,2.45
Kepler-1484 b,Kepler-1484,30.4549136,2.11,5.1
Kepler-1486 b,Kepler-1486,54.6495759,2.32,5.99
Kepler-1471 c,Kepler-1471,11.6044881,1.88,4.19
Kepler-1537 b,Kepler-1537,1.4444538,1.18,1.76
Kepler-148 b,Kepler-148,1.729366,1.8,3.89
Kepler-148 c,Kepler-148,4.180043,3.6,12.6
Kepler-1480 b,Kepler-1480,22.12679948,1.67,3.43
Kepler-1481 b,Kepler-1481,5.94220998,1.23,2.04
42 Dra b,42 Dra,479.1,13.0,1233.13
61 Vir c,61 Vir,38.021,4.46,18.2
LTT 1445 A b,LTT 1445 A,5.35876,1.18,2.73
TOI-5301 b,TOI-5301,5.858858,13.092,1182.32167
TOI-669 b,TOI-669,3.945152,2.586,10.0
70 Vir b,70 Vir,116.688,12.6,2380.45
HIP 19976 b,HIP 19976,50.65905,4.94,21.61233
K2-151 b,K2-151,3.835476,1.49,2.83
EPIC 220492298 b,EPIC 220492298,0.762406,0.99,0.937
K2-290 b,K2-290,9.21165,3.06,10.9
K2-138 g,K2-138,41.96797,3.013,4.32
K2-140 b,K2-140,6.569188,13.563,295.58042
K2-141 c,K2-141,7.7485,7.0,8.0
K2-141 b,K2-141,0.2803244,1.51,4.97
TOI-3364 b,TOI-3364,5.8768918,12.229,530.77344
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,,14.0,245.0457
24 Sex b,24 Sex,452.8,13.4,632.46
24 Sex c,24 Sex,883.0,13.9,273.32
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,11.9,9057.77
HIP 63242 b,HIP 63242,124.6,12.5,2917.56
GJ 504 b,GJ 504,,13.0,1271.3
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,11.209,7786.5
RR Cae b,RR Cae,4343.5,13.0,1334.886
HAT-P-44 b,HAT-P-44,4.301219,13.922,111.871
K2-288 B b,K2-288 B,31.393463,1.9,4.27
K2-243 c,K2-243,24.94598,2.01,4.7
EPIC 206024342 c,EPIC 206024342,0.911724,1.4,2.54
HATS-43 b,HATS-43,4.3888497,13.227,82.95363
HATS-45 b,HATS-45,4.1876244,14.415,222.481
TOI-4602.01,TOI-4602,3.9812091,2.55,7.04
WASP-107 c,WASP-107,1088.0,13.2,115.0
Kepler-1972 c,Kepler-1972,11.3295,0.868,2.11
HR 858 b,HR 858,3.585287,2.004,3.55
WASP-127 b,WASP-127,4.17806203,14.695,52.3466
WASP-136 b,WASP-136,5.215357,15.468,479.9233
LHS 1140 c,LHS 1140,3.77794,1.272,1.91
TOI-178 e,TOI-178,9.961881,2.207,3.86
TOI-2285 b,TOI-2285,27.26955,1.74,19.5
TOI-6029 b,TOI-6029,5.7987,14.392,519.64945
CoRoT-8 b,CoRoT-8,6.21229,6.39,69.92
K2-261 b,K2-261,11.6334681,9.27,68.96876
K2-266 c,K2-266,7.814,0.705,0.29013
K2-114 b,K2-114,11.390931,10.592,638.8351
K2-308 b,K2-308,3.38628,9.916,70.6
TOI-1410 c,TOI-1410,47.56,5.63,27.0
TOI-1249 b,TOI-1249,13.079151,3.271,11.9
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,13.4,603.877
HD 134606 e,HD 134606,4.3203,1.33,2.34
TOI-3807 b,TOI-3807,2.8989727,18.495,330.54154
TOI-2525 b,TOI-2525,23.2856,8.676,26.69759
HATS-11 b,HATS-11,3.619188,18.03,263.7989
HATS-36 b,HATS-36,4.175186,12.92,1022.14128
HATS-9 b,HATS-9,1.915291,13.85,266.02371
HD 188641 b,HD 188641,14583.81038,11.9,9333.03117
WASP-36 b,WASP-36,1.53736596,14.874,750.39663
K2-3 b,K2-3,10.0546535,2.078,5.11
K2-348 c,K2-348,12.550171,2.67,7.61
K2-43 b,K2-43,3.471149,4.51,18.5
K2-77 b,K2-77,8.2000844,2.5,603.877
Kepler-105 b,Kepler-105,5.4122034,2.53,10.8
Kepler-25 c,Kepler-25,12.7207,5.217,15.2
NGTS-33 b,NGTS-33,2.827972,18.383,1153.71712
HATS-15 b,HATS-15,1.74748753,12.386,689.6911
GJ 3341 b,GJ 3341,14.207,2.46,6.6
GJ 581 e,GJ 581,3.1481,1.38,2.48
G 264-012 b,G 264-012,2.30538,1.39,2.5
EPIC 212624936 c,EPIC 212624936,11.811437,2.3,5.9
K2-104 b,K2-104,1.9741954,1.79,3.86
EPIC 201615463 c,K2-166,3.80464,1.22,1.98
EPIC 206032309 b,EPIC 206032309,2.87814,1.01,1.01
EPIC 212424622 b,EPIC 212424622,18.0983,2.17,5.35
TOI-1244 b,TOI-1244,6.40031648,2.467,6.6
TOI-1301.01,TOI-1301,6.09640721,2.477,6.7
TOI-1772.01,TOI-1772,8.05424687,2.905,8.78
GJ 3293 d,GJ 3293,48.1345,2.67,7.6
BD-08 2823 b,BD-08 2823,5.6,3.61,12.7132
BD-10 3166 b,BD-10 3166,3.48777,14.1,187.5197
GJ 720 A b,GJ 720 A,19.466,3.77,13.64
BD-13 2130 b,BD-13 2130,714.29999,12.5,3108.3774
HD 215152 d,HD 215152,10.86499,1.48,2.801
AB Pic b,AB Pic,,12.3,4290.5
CoRoT-7 d,CoRoT-7,8.966,4.31,17.142
HD 113337 c,HD 113337,5429.93477,12.1,6299.67686
EPIC 246851721 b,EPIC 246851721,6.180235,11.781,953.49
K2-128 b,K2-128,5.675819,1.42,2.6
K2-123 b,K2-123,30.951524,2.76,8.05
K2-132 b,K2-132,9.1751,14.572,155.7367
K2-113 b,K2-113,5.817685,12.14,410.0007
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,,13.6,413.17693
OGLE2-TR-L9 b,OGLE2-TR-L9,2.4855335,18.046,1430.175
HD 105618 c,HD 105618,77114.07158,11.9,8419.59233
TOI-837 b,TOI-837,8.3249113,9.169,120.45697
PDS 70 b,PDS 70,43500.0,30.488,953.49
GJ 357 b,GJ 357,3.9306,1.2,1.84
WASP-124 b,WASP-124,3.37265,13.899,190.698
K2-338 b,K2-338,3.850614,1.03,1.08
K2-187 b,K2-187,0.77401,1.2,1.87
HD 164604 b,HD 164604,641.472,12.3,4544.94622
KIC 8540376 c,KOI-7892,75.2,2.4,6.35
KOI-217 b,KOI-217,3.90512,12.442,
Kepler-603 c,Kepler-603,127.9075774,6.5,34.5
Kepler-275 c,Kepler-275,16.088134,3.38,11.4
Kepler-170 c,Kepler-170,16.665863,2.86,8.55
Kepler-598 c,Kepler-598,86.4945,3.024,9.4
Kepler-139 d,Kepler-139,7.30569992,1.695,4.65808
Kepler-655 b,Kepler-655,46.4063358,2.71,7.8
K2-331 b,K2-331,9.398977,1.79,3.86
Kepler-1819 b,Kepler-1819,16.48690033,3.904,14.5
WASP-52 b,WASP-52,1.7497798,14.24,146.2
HD 158259 e,HD 158259,7.951,2.34,6.08
TOI-1736 c,TOI-1736,571.25,12.5,2800.0
WASP-3 b,WASP-3,1.84683,15.917,772.3269
TOI-4153 b,TOI-4153,4.6174141,16.119,365.50267
TOI-125 d,TOI-125,19.98,2.93,13.6
TOI-178 b,TOI-178,1.914558,1.152,1.5
HD 11506 d,HD 11506,26500.0,12.3,4068.20361
HR 858 c,HR 858,5.973865,1.979,3.8
TOI-1836 b,TOI-1836,20.380799,8.003,38.45724
TOI-5076 b,TOI-5076,23.443162,3.489,16.14568
WASP-132 b,WASP-132,7.1335164,10.099,136.03056
TOI-620 b,TOI-620,5.0988179,3.76,13.6
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,12.4,3337.1
CoRoT-14 b,CoRoT-14,1.51214,12.22,2415.4
LP 714-47 b,LP 714-47,4.052037,4.7,30.8
TOI-1075 b,TOI-1075,0.6047328,1.791,9.95
K2-154 c,K2-154,7.95486,2.07,4.94
55 Cnc c,55 Cnc,44.3989,8.51,54.4738
55 Cnc e,55 Cnc,0.7365474,1.875,7.99
55 Cnc f,55 Cnc,259.88,7.59,44.812
TOI-2459 b,TOI-2459,19.104718,2.953,9.03
TOI-251 b,TOI-251,4.93777,2.74,317.83
GJ 180 c,GJ 180,24.329,2.41,6.4
HD 136118 b,HD 136118,1187.59765,12.3,4164.18779
HD 153557 b,HD 153557,7.29903,4.77,20.34102
HD 155918 b,HD 155918,1.87567,2.67,7.62788
HD 156098 b,HD 156098,21.85849,4.12,15.89142
GJ 3138 d,GJ 3138,257.8,3.23,10.5
HD 134060 c,HD 134060,1291.5646,5.91,29.29
GJ 433 b,GJ 433,7.3705,2.33,6.043
GJ 433 d,GJ 433,36.059,2.14,5.223
CoRoT-30 b,CoRoT-30,9.06005,11.31,921.707
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,,2.37,6.228
OGLE-2018-BLG-0383L b,OGLE-2018-BLG-0383L,,2.41,6.4
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,,12.7,2034.1018
TOI-1680 b,TOI-1680,4.8026345,1.466,2.75
HD 5278 b,HD 5278,14.339156,2.45,7.8
HD 10180 d,HD 10180,16.357,3.45,11.75
HD 102272 b,HD 102272,127.58,12.9,1570.0802
HD 42618 b,HD 42618,149.61,3.89,14.4
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,,13.6,425.89007
HD 110014 b,HD 110014,835.477,12.4,3524.59
HD 131496 b,HD 131496,896.0,13.4,572.094
GJ 3929 b,GJ 3929,2.616235,1.09,1.75
HAT-P-46 b,HAT-P-46,4.463129,14.392,156.684
TOI-1855 b,TOI-1855,1.36414864,18.495,360.09959
K2-215 b,K2-215,8.269648,2.124,5.16
K2-179 b,K2-179,5.172191,2.513,6.86
HD 37605 b,HD 37605,55.01292,13.2,854.9627
HD 40307 d,HD 40307,20.432,3.04,9.5
HD 75289 b,HD 75289,3.50927,14.2,155.7367
K2-346 b,K2-346,26.201446,2.26,5.73
K2-335 b,K2-335,12.283211,2.21,5.52
K2-344 b,K2-344,3.35585,1.59,3.15
HD 46375 b,HD 46375,3.023573,10.0,71.8
HD 7924 c,HD 7924,15.299,2.72,7.86
G 264-012 c,G 264-012,8.0518,1.76,3.75
HD 23127 b,HD 23127,1211.17,13.5,485.32641
HD 233832 b,HD 233832,2058.0,13.5,565.7374
HD 238090 b,HD 238090,13.671,2.52,6.89
HD 30856 b,HD 30856,847.0,13.5,491.68301
HD 212301 b,HD 212301,2.24571,14.2,162.0933
HD 196050 b,HD 196050,1392.0,12.9,1493.79351
HD 215497 c,HD 215497,566.0,13.0,111.23994
HD 28254 b,HD 28254,1333.0,13.0,1207.74795
TOI-1227 b,TOI-1227,27.36397,9.572,66.5
TOI-500 d,TOI-500,26.233,6.35,33.12
K2-400 b,K2-400,3.865053,1.163,1.67
DMPP-3 A b,DMPP-3 A,6.6732,1.41,2.58
HD 13808 b,HD 13808,14.1815,3.35,11.2
HD 4208 b,HD 4208,832.97,13.9,257.4423
GJ 876 d,GJ 876,1.93778,2.51,6.83
nu Oct A b,nu Oct A,417.0,13.3,762.78818
HD 69830 b,HD 69830,8.667,3.17,10.2
HD 180053 b,HD 180053,213.72,13.3,697.31902
WTS-2 b,WTS-2,1.0187068,15.278,355.9696
HAT-P-18 b,HAT-P-18,5.508023,11.153,62.61
TOI-4145 A b,TOI-4145 A,4.0664428,13.305,136.66622
CoRoT-1 b,CoRoT-1,1.5089557,16.7,327.35
K2-331 c,K2-331,22.996591,2.72,7.85
GJ 667 C g,GJ 667 C,256.2,1.99,4.6
HATS-68 b,HATS-68,3.5862202,13.809,410.0007
HD 134606 f,HD 134606,26.915,2.24,5.63
HATS-17 b,HATS-17,16.254611,8.709,425.25654
K2-358 b,K2-358,11.2510285,2.68,7.65
HD 181342 b,HD 181342,564.1,13.2,807.2882
HD 181433 b,HD 181433,9.3743,2.4,6.3566
HD 187123 c,HD 187123,3810.0,13.4,632.46
K2-407 c,K2-407,9.22453,1.36,2.42
HD 73526 b,HD 73526,188.3,13.1,978.9164
TOI-406 c,TOI-406,3.307441,1.32,2.08
K2-354 b,K2-354,3.793306,1.56,3.05
WASP-183 b,WASP-183,4.1117771,16.477,159.55066
bet Pic b,bet Pic,8617.50952,18.495,3727.80939
PDS 70 c,PDS 70,,22.866,635.66
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,12.9,1589.15
HD 202772 A b,HD 202772 A,3.308958,17.318,323.23311
K2-148 d,K2-148,9.7579,1.64,3.33
GJ 876 e,GJ 876,124.26,3.92,14.6
CoRoT-20 b,CoRoT-20,9.24285,9.416,1366.669
HD 63433 c,HD 63433,20.543847,2.582,17.2
K2-268 e,K2-268,6.131243,1.33,2.33
NGTS-25 b,NGTS-25,2.823093,11.467,203.09235
EPIC 201427007 b,EPIC 201427007,0.72091,1.5,2.86
TOI-1064 c,TOI-1064,12.226574,2.651,2.5
HD 125612 b,HD 125612,557.69994,13.2,945.22168
K2-111 c,K2-111,15.6805,3.33,11.08
K2-165 c,K2-165,4.382745,1.554,3.03
HD 205739 b,HD 205739,279.8,13.6,435.41
HD 20868 b,HD 20868,380.85001,13.7,397.2875
HD 211810 b,HD 211810,1558.0,14.0,212.9461
Kepler-1293 b,Kepler-1293,5.57654784,0.97,0.871
Kepler-238 c,Kepler-238,6.155557,2.39,6.3
Kepler-382 c,Kepler-382,12.162701,1.59,3.15
Kepler-364 b,Kepler-364,25.745718,1.55,3.02
TOI-3919 b,TOI-3919,7.433234,12.319,1233.17422
KIC 9663113 b,KIC 9663113,572.3847,4.6,19.2
Kepler-104 c,Kepler-104,23.668205,3.13,7.14431
Kepler-1046 b,Kepler-1046,14.37508035,1.71,3.57
Kepler-1385 b,Kepler-1385,2.88879862,0.85,0.543
Kepler-1304 b,Kepler-1304,16.1288853,2.29,5.86
4 UMa b,4 UMa,270.27,12.6,2511.48007
HD 21411 b,HD 21411,84.288,9.52,65.9
K2-348 b,K2-348,4.688418,3.26,10.7
TOI-3837 b,TOI-3837,11.88865,10.873,187.51876
TOI-561 d,TOI-561,25.71268,2.615,13.33
EPIC 212587672 c,EPIC 212587672,23.228555,2.32,5.99
HD 73526 c,HD 73526,379.1,13.3,715.09
K2-339 b,K2-339,19.507428,1.92,4.35
HD 73534 b,HD 73534,1750.0,13.7,353.42696
GJ 411 b,GJ 411,12.9394,1.45,2.69
GJ 687 b,GJ 687,38.142,4.32,17.2
GJ 887 b,GJ 887,9.262,1.88,4.2
HD 64114 b,HD 64114,45.791,4.41,17.8
HD 220842 b,HD 220842,218.47,13.1,1010.6994
HD 221585 b,HD 221585,1173.0,13.5,511.7063
HD 238914 b,HD 238914,4100.0,12.8,1906.98
HD 73267 c,HD 73267,17071.78045,12.8,1630.77756
HD 20781 b,HD 20781,5.3135,1.21,1.93
HD 67087 c,HD 67087,2374.0,12.9,1540.0
HD 65216 c,HD 65216,5370.0,13.4,645.1949
HD 290327 b,HD 290327,2443.0,13.3,772.3269
HD 151450 b,HD 151450,21.89288,6.94,38.45724
HD 4313 b,HD 4313,356.21,13.4,612.45841
HD 330075 b,HD 330075,3.38773,14.3,152.5584
HD 31253 b,HD 31253,466.0,14.1,197.0546
HD 31527 b,HD 31527,16.5535,3.22,10.47
HD 206893 b,HD 206893,9350.0,14.011,8899.1954
COCONUTS-2 b,COCONUTS-2 A,402000000.0,12.442,2542.62726
KELT-20 b,KELT-20,3.4741085,19.515,1074.90106
HD 158259 b,HD 158259,2.178,1.282,2.22
K2-122 b,K2-122,2.2193023,1.16,1.65
LP 890-9 c,LP 890-9,8.457463,1.367,25.3
Kepler-1239 b,Kepler-1239,5.19104016,2.9,8.75
TOI-5232 b,TOI-5232,4.0966692,12.778,743.71847
K2-318 b,K2-318,7.01,1.66,3.39
K2-154 b,K2-154,3.67626,1.99,4.62
HD 40307 b,HD 40307,4.3123,1.83,4.0
TOI-2107 b,TOI-2107,2.4545467,13.574,263.79758
HIP 54597 b,HIP 54597,3274.0,13.3,762.78818
K2-249 b,K2-249,12.409,2.79,8.2
K2-246 b,K2-246,5.76918,3.49,12.0
TOI-559 b,TOI-559,6.9839095,12.229,1910.14873
HD 134606 d,HD 134606,966.5,7.59,44.8
HD 12661 b,HD 12661,262.70862,13.3,772.3269
HD 4203 b,HD 4203,431.88,13.3,708.7609
CoRoT-13 b,CoRoT-13,4.03519,9.92,415.704
HD 122562 c,HD 122562,84.96276,10.1,73.10053
HD 49674 b,HD 49674,4.94737,6.2,31.783
30 Ari B b,30 Ari B,335.10001,12.3,4392.4106
HD 62509 b,HD 62509,589.64,13.3,731.0
HD 208527 b,HD 208527,875.5,12.5,3146.4
HD 167768 b,HD 167768,20.6532,13.9,270.15415
rho CrB d,rho CrB,282.2,4.94,21.6
TOI-3362 b,TOI-3362,18.09547,12.801,1598.35906
47 UMa c,47 UMa,2391.0,14.2,171.621
BD-11 4672 b,BD-11 4672,1634.0,14.1,206.5895
HATS-44 b,HATS-44,2.7439004,11.96,177.9848
rho CrB b,rho CrB,39.8438,13.7,347.38645
HD 110067 f,HD 110067,41.05854,2.601,5.04
HD 110067 g,HD 110067,54.76992,2.607,8.4
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,12.3,4131.79
HD 7199 b,HD 7199,615.0,11.1,85.8141
KOI-55 c,KOI-55,0.342887,0.867,0.655
HD 79498 b,HD 79498,1807.0,13.6,425.8922
Kepler-1096 b,Kepler-1096,2.89221751,1.24,2.07
K2-333 b,K2-333,14.759287,6.18,31.6
K2-350 c,K2-350,19.991944,2.74,7.95
K2-330 b,K2-330,13.774798,2.77,8.1
Kepler-1095 b,Kepler-1095,4.27103091,1.21,1.92
6 Lyn b,6 Lyn,919.86,13.4,597.83523
HD 77338 b,HD 77338,5.7361,4.12,15.9
GJ 3021 b,GJ 3021,133.71,13.1,1071.04
GJ 3634 b,GJ 3634,2.64561,2.83,8.4
GJ 674 b,GJ 674,4.6938,3.33,11.09
HD 37605 c,HD 37605,2720.0,13.1,1013.8777
HD 142 b,HD 142,351.43394,12.7,2256.58169
HD 142 A d,HD 142,108.45299,10.9,82.63539
HD 175167 b,HD 175167,1175.0,12.3,4703.86042
HD 189567 b,HD 189567,14.288,2.85,8.5
HD 96700 c,HD 96700,19.88,1.69,3.5
K2-49 b,K2-49,2.77065,1.93,4.38
K2-83 c,K2-83,9.99767,1.483,2.8
HD 155918 c,HD 155918,17202.19446,12.8,1878.04806
HD 190647 b,HD 190647,1176.45,13.4,630.89255
BD+15 2940 b,BD+15 2940,137.48,13.7,352.78
Kepler-123 b,Kepler-123,17.232366,2.94,55.3
HD 200964 c,HD 200964,852.5,13.7,385.84562
K2-239 b,K2-239,5.24,1.1,1.37
HD 206610 b,HD 206610,673.2,13.4,647.10188
KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,,14.0,232.01474
8 UMi b,8 UMi,93.4,13.6,416.3573
K2-206 b,K2-206,18.294549,2.795,8.22
HD 111232 b,HD 111232,1169.13202,12.6,2531.50326
K2-231 b,K2-231,13.841901,2.5,6.8
K2-80 b,K2-80,19.0918,2.01,4.7
K2-407 b,K2-407,4.941907,1.283,2.19
GJ 1214 b,GJ 1214,1.58040453,2.733,8.41
HATS-54 b,HATS-54,2.5441765,11.377,239.32479
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,,12.9,1452.47582
Kepler-128 c,Kepler-128,22.8,1.521,3.38
Kepler-810 b,Kepler-810,4.59725385,1.93,4.38
Kepler-1061 b,Kepler-1061,2.75798267,1.98,4.58
Kepler-1544 b,Kepler-1544,168.811174,1.78,3.82
Kepler-160 b,Kepler-160,4.309397,1.715,3.59
Kepler-11 g,Kepler-11,118.3807,3.33,25.0
HD 100655 b,HD 100655,157.57001,13.5,511.7063
HD 210277 b,HD 210277,442.19,13.6,410.0007
HD 21693 b,HD 21693,22.6786,2.8,8.23
HD 10180 f,HD 10180,122.744,5.24,23.9
HD 10180 g,HD 10180,604.67,4.91,21.4
HD 11506 b,HD 11506,1617.7,12.9,1551.00263
TOI-178 g,TOI-178,20.7095,2.87,3.94
WASP-79 b,WASP-79,3.662392,17.15,270.15415
WASP-121 b,WASP-121,1.27492504,19.649,367.72747
WASP-77 A b,WASP-77 A,1.36002854,13.787,529.81995
Kepler-733 b,Kepler-733,20.83424726,2.82,8.35
Kepler-1218 b,Kepler-1218,22.9221266,1.44,2.67
Kepler-1222 b,Kepler-1222,1.91694425,0.79,0.418
Kepler-928 b,Kepler-928,3.9324613,1.59,3.15
HAT-P-52 b,HAT-P-52,2.7535953,11.31,259.98494
TOI-700 c,TOI-700,16.051137,2.6,7.27
HD 176986 c,HD 176986,16.8191,2.98,9.18
GJ 15 A b,GJ 15 A,11.4407,1.55,3.03
HD 143361 b,HD 143361,1039.15,12.9,1382.55357
TOI-2373 b,TOI-2373,13.33668,10.424,2955.80419
GJ 581 b,GJ 581,5.3686,4.79,20.5
WASP-160 B b,WASP-160 B,3.7684952,12.218,88.35674
WASP-61 b,WASP-61,3.8559,15.805,851.7844
GJ 3998 b,GJ 3998,2.65033,1.39,2.5
GJ 3998 c,GJ 3998,13.727,2.5,6.82
Barnard b,Barnard's star,3.1542,0.72,0.299
Barnard c,Barnard's star,4.1244,0.743,0.335
Barnard d,Barnard's star,2.3402,0.694,0.263
Barnard e,Barnard's star,6.7392,0.637,0.193
GJ 3998 d,GJ 3998,41.78,2.34,6.07
K2-153 b,K2-153,7.51574,2.0,4.66
K2-387 b,K2-387,28.735327,7.322,42.2
GJ 3293 c,GJ 3293,122.6196,4.87,21.09
GJ 876 c,GJ 876,30.0881,14.0,226.9846
K2-87 b,K2-87,9.726618,7.6,44.9
HIP 79098 AB b,HIP 79098 AB,,12.1,6515.515
K2-396 c,K2-396,25.76051,3.124,9.93
TOI-1408 b,TOI-1408,4.42587,25.0,593.0
HD 16417 b,HD 16417,17.24,5.0,22.1
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,,14.1,206.58846
TOI-2421 b,TOI-2421,4.3474032,10.368,105.83686
Kepler-789 b,Kepler-789,8.63847725,2.12,5.14
Kepler-48 e,Kepler-48,982.0,13.4,657.0
Kepler-1800 b,Kepler-1800,4.56202984,0.997,0.961
Kepler-591 b,Kepler-591,81.1694299,3.39,11.4
TIC 172900988 b,TIC 172900988 Aa,200.452,11.25,942.0
Kepler-401 b,Kepler-401,14.383035,1.71,3.57
HD 114082 b,HD 114082,109.75,11.209,2542.62726
HD 110113 b,HD 110113,2.541,2.05,4.55
TOI-238 b,TOI-238,1.273114,1.612,3.4
MASCARA-4 b,MASCARA-4,2.82406,17.15,985.273
MWC 758 c,MWC 758,,,
TOI-1194 b,TOI-1194,2.3106446,8.717,120.0
TOI-1062 b,TOI-1062,4.11296,2.265,10.15
TOI-431 d,TOI-431,12.46103,3.29,9.9
LHS 1140 b,LHS 1140,24.73723,1.73,5.6
TOI-5126 c,TOI-5126,17.8999,3.86,14.2
HD 169830 c,HD 169830,1818.82339,12.6,2437.42605
HD 167677 b,HD 167677,1820.0,13.2,905.81096
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,,13.8,340.0764
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,,12.1,98.52681
HATS-74 A b,HATS-74 A,1.73185606,11.568,464.02947
Kepler-179 c,Kepler-179,6.40013,2.0,4.66
Kepler-1270 b,Kepler-1270,6.03356196,3.32,11.0
Kepler-1816 b,Kepler-1816,91.50099945,1.968,4.53
Kepler-182 b,Kepler-182,9.825792,2.58,7.18
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,,1.62,3.269
WASP-4 b,WASP-4,1.33823147,14.807,376.94638
HD 1605 c,HD 1605,2149.0,13.0,1150.5446
Kepler-396 b,Kepler-396,42.994,3.5,75.5
Kepler-148 d,Kepler-148,51.84688575,8.68,56.3
HD 134606 c,HD 134606,58.883,3.37,11.31
HD 9174 b,HD 9174,1179.0,13.7,352.7913
HD 32518 b,HD 32518,157.35,13.2,905.49313
HD 136352 c,HD 136352,27.59221,2.916,11.24
Qatar-8 b,Qatar-8,3.71495,14.404,117.91493
TOI-201 b,TOI-201,52.97818,11.299,133.4886
Kepler-1207 b,Kepler-1207,13.68237119,1.62,3.26
K2-161 b,K2-161,9.283188,6.117,31.1
K2-73 b,K2-73,7.49543,2.45,6.57
HD 165155 b,HD 165155,434.5,13.2,918.5287
OGLE-2017-BLG-1140L b,OGLE-2017-BLG-1140L,,13.5,505.0
EPIC 206024342 d,EPIC 206024342,14.647531,2.6,7.27
HAT-P-24 b,HAT-P-24,3.35524,14.572,238.3725
HAT-P-33 b,HAT-P-33,3.47447,20.737,292.4036
HAT-P-39 b,HAT-P-39,3.54387,17.609,190.372
K2-345 b,K2-345,10.367437,2.11,5.1
K2-352 d,K2-352,14.871387,2.23,5.6
K2-389 b,K2-389,8.584043,2.184,5.41
K2-378 b,K2-378,2.060438,2.88,8.65
HATS-8 b,HATS-8,3.583893,9.785,43.86054
HD 180617 b,HD 180617,105.911,3.53,12.214
